"","quad_ctrl_1","quad_ctrl_2","quad_ctrl_3","quad_ctrl_4","quad_ctrl_5","quad_ctrl_6","quad_KO_1","quad_KO_2","quad_KO_3","quad_KO_4","quad_KO_5","quad_KO_6","sol_ctrl_1","sol_ctrl_2","sol_ctrl_3","sol_ctrl_4","sol_ctrl_5","sol_ctrl_6","sol_KO_1","sol_KO_2","sol_KO_3","sol_KO_4","sol_KO_5","sol_KO_6"
"Tecrl",4.02790187386721,3.2345688232434,2.7553326047781,3.12503561952128,2.57404835326267,3.11799250318055,6.2902425601139,6.2902425601139,5.44541254653095,6.56219032159836,5.72885158777518,6.30957520076729,8.49954926044186,7.46531935666928,7.08442820437919,8.5624841862349,7.06115997662412,7.09009874256981,9.25213370393228,8.84126544229444,8.36472449069305,9.51457881600396,8.93448619732064,9.51056183362972
"Zfp568",6.71944612712283,6.79091560328582,6.80739100401476,5.7824535505888,6.47982767439012,6.76247925175699,7.63114328423845,8.00576335178716,7.92510596093591,7.79321392514276,7.55768698853554,7.92643602288424,6.57728395080065,6.70315882063313,6.54460492883348,6.4902253795207,6.21430388077145,6.24593736186766,7.8850600082355,8.02737311305511,7.48911025462846,7.80000365552796,7.68422135372027,7.80337510941989
"Agbl1",7.22188804417092,6.65425835668181,6.47535871746807,6.42087307742528,6.6226850602375,6.80478059301,7.32496589391614,6.98337469801908,7.12095987023096,7.47486297828338,7.357223179164,7.19202831565343,8.36125724377499,7.9945077631735,7.80531419609604,7.9660394112238,8.30749751224923,7.64216380946752,8.60519033281556,8.61447488842891,8.1960749244932,8.81178571327828,8.64136745554524,8.40178582412782
"AW551984",8.52815079389318,4.94316735837063,5.04162649545914,4.78498877705774,5.9375689344958,5.87449849437283,6.68220673220046,6.44434142065772,6.90986694667551,6.98963455687591,6.31146648473184,5.86186113103618,4.9693045332971,4.44610394399756,4.34721485148829,4.76800881067398,4.57668885296778,4.24761981017584,7.270728013177,6.88176245987319,7.32886680055682,7.57146963896166,6.61572075422122,6.30179330758335
"Slc35g2",3.95783979151387,4.081875841311,4.00743029148723,3.93596605564585,3.94558067657079,4.13598455965671,4.63403337736638,4.35723048116615,4.20953192205465,4.46322097667301,4.66980635454641,4.85138315713941,5.33098345996904,4.9939601525377,4.71566238753079,5.05694592310727,5.44919197906953,5.14057467030766,5.33625728578722,5.30402312742815,4.81612570204766,5.0616583427843,5.98346008712203,6.30842634777719
"Eda2r",8.04364949389472,6.54589509396678,6.32679070121996,6.06705326780091,6.34578854731664,7.43545486752555,9.22946405797959,9.19062764343971,9.34813174605654,9.18399412340259,9.35205253987643,9.21821778289165,6.91033194594588,6.04829437030433,5.59742891089192,5.51175749839967,5.94160651991593,6.21614355708907,8.60040736811279,8.81692749292771,8.98454598850291,8.62898608082855,8.92682713908653,8.85474544235836
"Klhl34",6.61265926114535,6.61552639934128,6.53301675579928,5.55010971251389,5.87480092568377,7.01802434400276,6.37416971208271,6.27428184320165,6.85163644743806,7.12352745309852,6.28292259393367,7.08268943999105,8.21045003901733,7.9877484573867,8.20697896086802,8.22948358184033,7.76169530428204,7.93906528866304,7.3978755468624,7.25087250861775,7.3536417016897,7.56247129806099,7.46869214738597,8.03883247767286
"Klhl8",7.59647229260928,7.3380606469145,7.39154628861307,6.89945774213582,7.57427909983228,7.35388008580453,6.5543714238661,6.15264591435368,6.18864970826272,6.30466356156306,6.2567737632712,6.24355587300076,6.2885610049958,6.38821779891964,6.08732696058774,6.12551405780524,6.07701417809872,6.42307769965663,5.97394917195437,5.9569243566698,5.82887608909536,5.8161572808969,5.77053195081728,5.89852172582494
"Cdc42ep3",7.71923598384591,7.65138122349941,7.62436514643601,8.36538372484621,7.93442160259673,8.1729310777232,7.012967720093,7.32084862249293,6.95490741584835,7.47903967790467,6.96157777199901,6.84611355977968,7.10660217673976,7.25596767986554,7.09607845387748,7.63046629396848,7.76491892646216,7.71699417778699,6.30387142217068,6.43469572047132,6.1795563626518,6.85282466577241,5.90271088828294,6.21045444303729
"Ceacam1",6.2813517902385,6.47614096587575,6.68774683410391,6.31022945823048,5.71667291435994,7.0730537846107,6.45696151008045,6.75904551238022,6.68425021648613,6.51342775838243,6.22865692266112,6.68758399534222,6.9750518014547,7.845659641601,7.88040099643094,7.63861965547238,7.37922247646347,7.01559717441802,6.48333420474111,6.83997473861531,7.04258703718504,6.99358978250151,6.05206452650754,6.50491048767642
